season,League_name,team_long_name_x,W,D,L,GF,GA,Pts,GD
2008/2009,Belgium Jupiler League,Beerschot AC,11,9,14,44,42,42,2
2008/2009,Belgium Jupiler League,Club Brugge KV,18,5,11,59,50,59,9
2008/2009,Belgium Jupiler League,FCV Dender EH,9,8,17,44,58,35,-14
2008/2009,Belgium Jupiler League,KAA Gent,17,8,9,67,42,59,25
2008/2009,Belgium Jupiler League,KRC Genk,15,5,14,48,51,50,-3
2008/2009,Belgium Jupiler League,KSV Cercle Brugge,14,5,15,48,53,47,-5
2008/2009,Belgium Jupiler League,KSV Roeselare,8,6,20,33,59,30,-26
2008/2009,Belgium Jupiler League,KV Kortrijk,9,11,14,37,55,38,-18
2008/2009,Belgium Jupiler League,KV Mechelen,12,10,12,46,52,46,-6
2008/2009,Belgium Jupiler League,KVC Westerlo,15,7,12,42,38,52,4
2008/2009,Belgium Jupiler League,RAEC Mons,3,10,21,31,57,19,-26
2008/2009,Belgium Jupiler League,RSC Anderlecht,24,5,5,75,30,77,45
2008/2009,Belgium Jupiler League,Royal Excel Mouscron,12,8,14,42,49,44,-7
2008/2009,Belgium Jupiler League,SV Zulte-Waregem,16,7,11,55,36,55,19
2008/2009,Belgium Jupiler League,Sporting Charleroi,12,7,15,43,48,43,-5
2008/2009,Belgium Jupiler League,Sporting Lokeren,13,12,9,40,32,51,8
2008/2009,Belgium Jupiler League,Standard de Liège,24,5,5,66,26,77,40
2008/2009,Belgium Jupiler League,Tubize,7,6,21,35,77,27,-42
2008/2009,England Premier League,Arsenal,20,12,6,68,37,72,31
2008/2009,England Premier League,Aston Villa,17,11,10,54,48,62,6
2008/2009,England Premier League,Blackburn Rovers,10,11,17,40,60,41,-20
2008/2009,England Premier League,Bolton Wanderers,11,8,19,41,53,41,-12
2008/2009,England Premier League,Chelsea,25,8,5,68,24,83,44
2008/2009,England Premier League,Everton,17,12,9,55,37,63,18
2008/2009,England Premier League,Fulham,14,11,13,39,34,53,5
2008/2009,England Premier League,Hull City,8,11,19,39,64,35,-25
2008/2009,England Premier League,Liverpool,25,11,2,77,27,86,50
2008/2009,England Premier League,Manchester City,15,5,18,58,50,50,8
2008/2009,England Premier League,Manchester United,28,6,4,68,24,90,44
2008/2009,England Premier League,Middlesbrough,7,11,20,28,57,32,-29
2008/2009,England Premier League,Newcastle United,7,13,18,40,59,34,-19
2008/2009,England Premier League,Portsmouth,10,11,17,38,57,41,-19
2008/2009,England Premier League,Stoke City,12,9,17,38,55,45,-17
2008/2009,England Premier League,Sunderland,9,9,20,34,54,36,-20
2008/2009,England Premier League,Tottenham Hotspur,14,9,15,45,45,51,0
2008/2009,England Premier League,West Bromwich Albion,8,8,22,36,67,32,-31
2008/2009,England Premier League,West Ham United,14,9,15,42,45,51,-3
2008/2009,England Premier League,Wigan Athletic,12,9,17,34,45,45,-11
2008/2009,France Ligue 1,AJ Auxerre,16,7,15,35,35,55,0
2008/2009,France Ligue 1,AS Monaco,11,12,15,41,45,45,-4
2008/2009,France Ligue 1,AS Nancy-Lorraine,10,12,16,38,47,42,-9
2008/2009,France Ligue 1,AS Saint-Étienne,11,7,20,40,56,40,-16
2008/2009,France Ligue 1,FC Lorient,10,15,13,47,47,45,0
2008/2009,France Ligue 1,FC Nantes,9,10,19,33,54,37,-21
2008/2009,France Ligue 1,FC Sochaux-Montbéliard,10,12,16,40,48,42,-8
2008/2009,France Ligue 1,Girondins de Bordeaux,24,8,6,64,34,80,30
2008/2009,France Ligue 1,Grenoble Foot 38,10,14,14,24,37,44,-13
2008/2009,France Ligue 1,LOSC Lille,17,13,8,51,39,64,12
2008/2009,France Ligue 1,Le Havre AC,7,5,26,30,67,26,-37
2008/2009,France Ligue 1,Le Mans FC,10,10,18,43,54,40,-11
2008/2009,France Ligue 1,OGC Nice,13,11,14,40,41,50,-1
2008/2009,France Ligue 1,Olympique Lyonnais,20,11,7,52,29,71,23
2008/2009,France Ligue 1,Olympique de Marseille,22,11,5,67,35,77,32
2008/2009,France Ligue 1,Paris Saint-Germain,19,7,12,49,38,64,11
2008/2009,France Ligue 1,SM Caen,8,13,17,42,49,37,-7
2008/2009,France Ligue 1,Stade Rennais FC,15,16,7,42,34,61,8
2008/2009,France Ligue 1,Toulouse FC,16,16,6,45,27,64,18
2008/2009,France Ligue 1,Valenciennes FC,10,14,14,35,42,44,-7
2008/2009,Germany 1. Bundesliga,1. FC Köln,11,6,17,35,50,39,-15
2008/2009,Germany 1. Bundesliga,Bayer 04 Leverkusen,14,7,13,59,46,49,13
2008/2009,Germany 1. Bundesliga,Borussia Dortmund,15,14,5,60,37,59,23
2008/2009,Germany 1. Bundesliga,Borussia Mönchengladbach,8,7,19,39,62,31,-23
2008/2009,Germany 1. Bundesliga,DSC Arminia Bielefeld,4,16,14,29,56,28,-27
2008/2009,Germany 1. Bundesliga,Eintracht Frankfurt,8,9,17,39,60,33,-21
2008/2009,Germany 1. Bundesliga,FC Bayern Munich,20,7,7,71,42,67,29
2008/2009,Germany 1. Bundesliga,FC Energie Cottbus,8,6,20,30,57,30,-27
2008/2009,Germany 1. Bundesliga,FC Schalke 04,14,8,12,47,35,50,12
2008/2009,Germany 1. Bundesliga,Hamburger SV,19,4,11,49,47,61,2
2008/2009,Germany 1. Bundesliga,Hannover 96,10,10,14,49,69,40,-20
2008/2009,Germany 1. Bundesliga,Hertha BSC Berlin,19,6,9,48,41,63,7
2008/2009,Germany 1. Bundesliga,Karlsruher SC,8,5,21,30,54,29,-24
2008/2009,Germany 1. Bundesliga,SV Werder Bremen,12,9,13,64,50,45,14
2008/2009,Germany 1. Bundesliga,TSG 1899 Hoffenheim,15,10,9,63,49,55,14
2008/2009,Germany 1. Bundesliga,VfB Stuttgart,19,7,8,63,43,64,20
2008/2009,Germany 1. Bundesliga,VfL Bochum,7,11,16,39,55,32,-16
2008/2009,Germany 1. Bundesliga,VfL Wolfsburg,21,6,7,80,41,69,39
2008/2009,Italy Serie A,Atalanta,13,8,17,45,48,47,-3
2008/2009,Italy Serie A,Bologna,9,10,19,43,62,37,-19
2008/2009,Italy Serie A,Cagliari,15,8,15,49,50,53,-1
2008/2009,Italy Serie A,Catania,12,7,19,41,51,43,-10
2008/2009,Italy Serie A,Chievo Verona,8,14,16,35,49,38,-14
2008/2009,Italy Serie A,Fiorentina,21,5,12,53,38,68,15
2008/2009,Italy Serie A,Genoa,19,11,8,56,39,68,17
2008/2009,Italy Serie A,Inter,25,9,4,70,32,84,38
2008/2009,Italy Serie A,Juventus,21,11,6,69,37,74,32
2008/2009,Italy Serie A,Lazio,15,5,18,46,55,50,-9
2008/2009,Italy Serie A,Lecce,5,15,18,37,67,30,-30
2008/2009,Italy Serie A,Milan,22,8,8,70,35,74,35
2008/2009,Italy Serie A,Napoli,12,10,16,43,45,46,-2
2008/2009,Italy Serie A,Palermo,17,6,15,57,50,57,7
2008/2009,Italy Serie A,Reggio Calabria,6,13,19,30,62,31,-32
2008/2009,Italy Serie A,Roma,18,9,11,64,61,63,3
2008/2009,Italy Serie A,Sampdoria,11,13,14,49,52,46,-3
2008/2009,Italy Serie A,Siena,12,8,18,33,44,44,-11
2008/2009,Italy Serie A,Torino,8,10,20,37,61,34,-24
2008/2009,Italy Serie A,Udinese,16,10,12,61,50,58,11
2008/2009,Netherlands Eredivisie,ADO Den Haag,8,8,18,41,58,32,-17
2008/2009,Netherlands Eredivisie,AZ,25,5,4,66,22,80,44
2008/2009,Netherlands Eredivisie,Ajax,21,5,8,74,41,68,33
2008/2009,Netherlands Eredivisie,De Graafschap,7,9,18,24,58,30,-34
2008/2009,Netherlands Eredivisie,FC Groningen,17,5,12,53,36,56,17
2008/2009,Netherlands Eredivisie,FC Twente,20,9,5,62,31,69,31
2008/2009,Netherlands Eredivisie,FC Utrecht,11,11,12,41,44,44,-3
2008/2009,Netherlands Eredivisie,FC Volendam,7,8,19,38,67,29,-29
2008/2009,Netherlands Eredivisie,Feyenoord,12,9,13,54,46,45,8
2008/2009,Netherlands Eredivisie,Heracles Almelo,7,11,16,35,53,32,-18
2008/2009,Netherlands Eredivisie,N.E.C.,9,15,10,41,40,42,1
2008/2009,Netherlands Eredivisie,NAC Breda,13,6,15,44,54,45,-10
2008/2009,Netherlands Eredivisie,PSV,19,8,7,71,33,65,38
2008/2009,Netherlands Eredivisie,Roda JC Kerkrade,7,9,18,38,58,30,-20
2008/2009,Netherlands Eredivisie,SC Heerenveen,17,9,8,66,57,60,9
2008/2009,Netherlands Eredivisie,Sparta Rotterdam,9,8,17,46,66,35,-20
2008/2009,Netherlands Eredivisie,Vitesse,11,10,13,41,48,43,-7
2008/2009,Netherlands Eredivisie,Willem II,10,7,17,35,58,37,-23
2008/2009,Poland Ekstraklasa,Arka Gdynia,7,9,14,27,39,30,-12
2008/2009,Poland Ekstraklasa,Cracovia,7,9,14,24,40,30,-16
2008/2009,Poland Ekstraklasa,GKS Bełchatów,17,3,10,40,28,54,12
2008/2009,Poland Ekstraklasa,Jagiellonia Białystok,9,7,14,28,34,34,-6
2008/2009,Poland Ekstraklasa,Lech Poznań,16,11,3,51,24,59,27
2008/2009,Poland Ekstraklasa,Lechia Gdańsk,9,5,16,30,44,32,-14
2008/2009,Poland Ekstraklasa,Legia Warszawa,18,7,5,52,17,61,35
2008/2009,Poland Ekstraklasa,Odra Wodzisław,8,8,14,23,40,32,-17
2008/2009,Poland Ekstraklasa,P. Warszawa,15,9,6,40,23,54,17
2008/2009,Poland Ekstraklasa,Piast Gliwice,9,6,15,17,26,33,-9
2008/2009,Poland Ekstraklasa,Polonia Bytom,17,13,30,50,79,64,-29
2008/2009,Poland Ekstraklasa,Ruch Chorzów,9,7,14,22,32,34,-10
2008/2009,Poland Ekstraklasa,Widzew Łódź,10,5,15,27,43,35,-16
2008/2009,Poland Ekstraklasa,Wisła Kraków,19,7,4,53,21,64,32
2008/2009,Poland Ekstraklasa,Śląsk Wrocław,11,12,7,40,34,45,6
2008/2009,Portugal Liga ZON Sagres,Académica de Coimbra,10,9,11,28,32,39,-4
2008/2009,Portugal Liga ZON Sagres,Amadora,8,10,12,26,38,34,-12
2008/2009,Portugal Liga ZON Sagres,CD Nacional,15,7,8,47,32,52,15
2008/2009,Portugal Liga ZON Sagres,CF Os Belenenses,5,9,16,28,52,24,-24
2008/2009,Portugal Liga ZON Sagres,CS Marítimo,9,10,11,35,36,37,-1
2008/2009,Portugal Liga ZON Sagres,FC Paços de Ferreira,9,7,14,37,42,34,-5
2008/2009,Portugal Liga ZON Sagres,FC Porto,21,7,2,61,18,70,43
2008/2009,Portugal Liga ZON Sagres,Leixões SC,12,9,9,30,31,45,-1
2008/2009,Portugal Liga ZON Sagres,Naval 1° de Maio,7,8,15,25,39,29,-14
2008/2009,Portugal Liga ZON Sagres,Rio Ave FC,8,6,16,20,35,30,-15
2008/2009,Portugal Liga ZON Sagres,SC Braga,13,11,6,38,21,50,17
2008/2009,Portugal Liga ZON Sagres,SL Benfica,17,8,5,54,32,59,22
2008/2009,Portugal Liga ZON Sagres,Sporting CP,20,6,4,45,20,66,25
2008/2009,Portugal Liga ZON Sagres,Trofense,5,8,17,25,42,23,-17
2008/2009,Portugal Liga ZON Sagres,Vitória Guimarães,10,8,12,32,36,38,-4
2008/2009,Portugal Liga ZON Sagres,Vitória Setúbal,7,5,18,21,46,26,-25
2008/2009,Scotland Premier League,Aberdeen,14,11,13,41,40,53,1
2008/2009,Scotland Premier League,Celtic,24,10,4,80,33,82,47
2008/2009,Scotland Premier League,Dundee United,13,14,11,47,50,53,-3
2008/2009,Scotland Premier League,Falkirk,9,11,18,37,52,38,-15
2008/2009,Scotland Premier League,Hamilton Academical FC,12,5,21,30,53,41,-23
2008/2009,Scotland Premier League,Heart of Midlothian,16,11,11,40,37,59,3
2008/2009,Scotland Premier League,Hibernian,11,14,13,42,46,47,-4
2008/2009,Scotland Premier League,Inverness Caledonian Thistle,10,7,21,37,58,37,-21
2008/2009,Scotland Premier League,Kilmarnock,12,8,18,38,48,44,-10
2008/2009,Scotland Premier League,Motherwell,13,9,16,46,51,48,-5
2008/2009,Scotland Premier League,Rangers,26,8,4,77,28,86,49
2008/2009,Scotland Premier League,St. Mirren,9,10,19,33,52,37,-19
2008/2009,Spain LIGA BBVA,Athletic Club de Bilbao,12,8,18,47,62,44,-15
2008/2009,Spain LIGA BBVA,Atlético Madrid,20,7,11,80,57,67,23
2008/2009,Spain LIGA BBVA,CA Osasuna,10,13,15,41,47,43,-6
2008/2009,Spain LIGA BBVA,CD Numancia,10,5,23,38,69,35,-31
2008/2009,Spain LIGA BBVA,FC Barcelona,27,6,5,105,35,87,70
2008/2009,Spain LIGA BBVA,Getafe CF,10,12,16,50,56,42,-6
2008/2009,Spain LIGA BBVA,Málaga CF,15,10,13,55,59,55,-4
2008/2009,Spain LIGA BBVA,RC Deportivo de La Coruña,16,10,12,48,47,58,1
2008/2009,Spain LIGA BBVA,RC Recreativo,8,9,21,34,57,33,-23
2008/2009,Spain LIGA BBVA,RCD Espanyol,12,11,15,46,49,47,-3
2008/2009,Spain LIGA BBVA,RCD Mallorca,14,9,15,53,60,51,-7
2008/2009,Spain LIGA BBVA,Racing Santander,12,10,16,49,48,46,1
2008/2009,Spain LIGA BBVA,Real Betis Balompié,10,12,16,51,58,42,-7
2008/2009,Spain LIGA BBVA,Real Madrid CF,25,3,10,83,52,78,31
2008/2009,Spain LIGA BBVA,Real Sporting de Gijón,14,1,23,47,79,43,-32
2008/2009,Spain LIGA BBVA,Real Valladolid,12,7,19,46,58,43,-12
2008/2009,Spain LIGA BBVA,Sevilla FC,21,7,10,54,39,70,15
2008/2009,Spain LIGA BBVA,UD Almería,13,7,18,45,61,46,-16
2008/2009,Spain LIGA BBVA,Valencia CF,18,8,12,68,54,62,14
2008/2009,Spain LIGA BBVA,Villarreal CF,18,11,9,61,54,65,7
2008/2009,Switzerland Super League,AC Bellinzona,11,10,15,44,51,43,-7
2008/2009,Switzerland Super League,BSC Young Boys,22,7,7,85,46,73,39
2008/2009,Switzerland Super League,FC Aarau,11,11,14,35,51,44,-16
2008/2009,Switzerland Super League,FC Basel,22,6,8,72,44,72,28
2008/2009,Switzerland Super League,FC Luzern,9,8,19,45,62,35,-17
2008/2009,Switzerland Super League,FC Sion,9,10,17,44,60,37,-16
2008/2009,Switzerland Super League,FC Vaduz,5,7,24,28,85,22,-57
2008/2009,Switzerland Super League,FC Zürich,24,7,5,80,36,79,44
2008/2009,Switzerland Super League,Grasshopper Club Zürich,12,14,10,57,48,50,9
2008/2009,Switzerland Super League,Neuchâtel Xamax,10,10,16,50,57,40,-7
2009/2010,Belgium Jupiler League,Beerschot AC,9,8,11,30,43,35,-13
2009/2010,Belgium Jupiler League,Club Brugge KV,17,6,5,52,33,57,19
2009/2010,Belgium Jupiler League,KAA Gent,14,7,7,49,30,49,19
2009/2010,Belgium Jupiler League,KRC Genk,8,10,10,33,31,34,2
2009/2010,Belgium Jupiler League,KSV Cercle Brugge,11,5,12,45,40,38,5
2009/2010,Belgium Jupiler League,KSV Roeselare,4,6,18,29,58,18,-29
2009/2010,Belgium Jupiler League,KV Kortrijk,12,9,7,39,30,45,9
2009/2010,Belgium Jupiler League,KV Mechelen,12,3,13,36,46,39,-10
2009/2010,Belgium Jupiler League,KVC Westerlo,8,8,12,28,34,32,-6
2009/2010,Belgium Jupiler League,RSC Anderlecht,22,3,3,62,20,69,42
2009/2010,Belgium Jupiler League,SV Zulte-Waregem,10,11,7,39,32,41,7
2009/2010,Belgium Jupiler League,Sint-Truidense VV,12,6,10,35,35,42,0
2009/2010,Belgium Jupiler League,Sporting Charleroi,5,8,15,28,45,23,-17
2009/2010,Belgium Jupiler League,Sporting Lokeren,5,3,20,22,54,18,-32
2009/2010,Belgium Jupiler League,Standard de Liège,10,9,9,38,34,39,4
2009/2010,England Premier League,Arsenal,23,6,9,83,41,75,42
2009/2010,England Premier League,Aston Villa,17,13,8,52,39,64,13
2009/2010,England Premier League,Birmingham City,13,11,14,38,47,50,-9
2009/2010,England Premier League,Blackburn Rovers,13,11,14,41,55,50,-14
2009/2010,England Premier League,Bolton Wanderers,10,9,19,42,67,39,-25
2009/2010,England Premier League,Burnley,8,6,24,42,82,30,-40
2009/2010,England Premier League,Chelsea,27,5,6,103,32,86,71
2009/2010,England Premier League,Everton,16,13,9,60,49,61,11
2009/2010,England Premier League,Fulham,12,10,16,39,46,46,-7
2009/2010,England Premier League,Hull City,6,12,20,34,75,30,-41
2009/2010,England Premier League,Liverpool,18,9,11,61,35,63,26
2009/2010,England Premier League,Manchester City,18,13,7,73,45,67,28
2009/2010,England Premier League,Manchester United,27,4,7,86,28,85,58
2009/2010,England Premier League,Portsmouth,7,7,24,34,66,28,-32
2009/2010,England Premier League,Stoke City,11,14,13,34,48,47,-14
2009/2010,England Premier League,Sunderland,11,11,16,48,56,44,-8
2009/2010,England Premier League,Tottenham Hotspur,21,7,10,67,41,70,26
2009/2010,England Premier League,West Ham United,8,11,19,47,66,35,-19
2009/2010,England Premier League,Wigan Athletic,9,9,20,37,79,36,-42
2009/2010,England Premier League,Wolverhampton Wanderers,9,11,18,32,56,38,-24
2009/2010,France Ligue 1,AJ Auxerre,20,11,7,42,29,71,13
2009/2010,France Ligue 1,AS Monaco,15,10,13,39,45,55,-6
2009/2010,France Ligue 1,AS Nancy-Lorraine,13,9,16,46,53,48,-7
2009/2010,France Ligue 1,AS Saint-Étienne,10,10,18,27,45,40,-18
2009/2010,France Ligue 1,FC Lorient,16,10,12,54,42,58,12
2009/2010,France Ligue 1,FC Sochaux-Montbéliard,11,8,19,28,52,41,-24
2009/2010,France Ligue 1,Girondins de Bordeaux,19,7,12,58,40,64,18
2009/2010,France Ligue 1,Grenoble Foot 38,5,8,25,31,61,23,-30
2009/2010,France Ligue 1,LOSC Lille,21,7,10,72,40,70,32
2009/2010,France Ligue 1,Le Mans FC,8,8,22,36,59,32,-23
2009/2010,France Ligue 1,Montpellier Hérault SC,20,9,9,50,40,69,10
2009/2010,France Ligue 1,OGC Nice,11,11,16,41,57,44,-16
2009/2010,France Ligue 1,Olympique Lyonnais,20,12,6,64,38,72,26
2009/2010,France Ligue 1,Olympique de Marseille,23,9,6,69,36,78,33
2009/2010,France Ligue 1,Paris Saint-Germain,12,11,15,50,46,47,4
2009/2010,France Ligue 1,RC Lens,12,12,14,40,44,48,-4
2009/2010,France Ligue 1,Stade Rennais FC,14,11,13,52,41,53,11
2009/2010,France Ligue 1,Toulouse FC,12,11,15,36,36,47,0
2009/2010,France Ligue 1,US Boulogne Cote D'Opale,7,10,21,31,62,31,-31
2009/2010,France Ligue 1,Valenciennes FC,14,10,14,50,50,52,0
2009/2010,Germany 1. Bundesliga,1. FC Köln,9,11,14,33,42,38,-9
2009/2010,Germany 1. Bundesliga,1. FC Nürnberg,8,7,19,32,58,31,-26
2009/2010,Germany 1. Bundesliga,1. FSV Mainz 05,12,11,11,36,42,47,-6
2009/2010,Germany 1. Bundesliga,Bayer 04 Leverkusen,15,14,5,65,38,59,27
2009/2010,Germany 1. Bundesliga,Borussia Dortmund,16,9,9,54,42,57,12
2009/2010,Germany 1. Bundesliga,Borussia Mönchengladbach,10,9,15,43,60,39,-17
2009/2010,Germany 1. Bundesliga,Eintracht Frankfurt,12,10,12,47,54,46,-7
2009/2010,Germany 1. Bundesliga,FC Bayern Munich,20,10,4,72,31,70,41
2009/2010,Germany 1. Bundesliga,FC Schalke 04,19,8,7,53,31,65,22
2009/2010,Germany 1. Bundesliga,Hamburger SV,13,13,8,56,41,52,15
2009/2010,Germany 1. Bundesliga,Hannover 96,9,6,19,43,67,33,-24
2009/2010,Germany 1. Bundesliga,Hertha BSC Berlin,5,9,20,34,56,24,-22
2009/2010,Germany 1. Bundesliga,SC Freiburg,9,8,17,35,59,35,-24
2009/2010,Germany 1. Bundesliga,SV Werder Bremen,17,10,7,71,40,61,31
2009/2010,Germany 1. Bundesliga,TSG 1899 Hoffenheim,11,9,14,44,42,42,2
2009/2010,Germany 1. Bundesliga,VfB Stuttgart,15,10,9,51,41,55,10
2009/2010,Germany 1. Bundesliga,VfL Bochum,6,10,18,33,64,28,-31
2009/2010,Germany 1. Bundesliga,VfL Wolfsburg,14,8,12,64,58,50,6
2009/2010,Italy Serie A,Atalanta,9,8,21,37,53,35,-16
2009/2010,Italy Serie A,Bari,13,11,14,49,49,50,0
2009/2010,Italy Serie A,Bologna,10,12,16,42,55,42,-13
2009/2010,Italy Serie A,Cagliari,11,11,16,56,58,44,-2
2009/2010,Italy Serie A,Catania,10,15,13,44,45,45,-1
2009/2010,Italy Serie A,Chievo Verona,12,8,18,37,42,44,-5
2009/2010,Italy Serie A,Fiorentina,13,8,17,48,47,47,1
2009/2010,Italy Serie A,Genoa,14,9,15,57,61,51,-4
2009/2010,Italy Serie A,Inter,24,10,4,75,34,82,41
2009/2010,Italy Serie A,Juventus,16,7,15,55,56,55,-1
2009/2010,Italy Serie A,Lazio,11,13,14,39,43,46,-4
2009/2010,Italy Serie A,Livorno,7,8,23,27,61,29,-34
2009/2010,Italy Serie A,Milan,20,10,8,60,39,70,21
2009/2010,Italy Serie A,Napoli,15,14,9,50,43,59,7
2009/2010,Italy Serie A,Palermo,18,11,9,59,47,65,12
2009/2010,Italy Serie A,Parma,14,10,14,46,51,52,-5
2009/2010,Italy Serie A,Roma,24,8,6,68,41,80,27
2009/2010,Italy Serie A,Sampdoria,19,10,9,49,41,67,8
2009/2010,Italy Serie A,Siena,7,10,21,40,67,31,-27
2009/2010,Italy Serie A,Udinese,11,11,16,54,59,44,-5
2009/2010,Netherlands Eredivisie,ADO Den Haag,7,9,18,38,59,30,-21
2009/2010,Netherlands Eredivisie,AZ,19,5,10,64,34,62,30
2009/2010,Netherlands Eredivisie,Ajax,27,4,3,106,20,85,86
2009/2010,Netherlands Eredivisie,FC Groningen,14,7,13,48,47,49,1
2009/2010,Netherlands Eredivisie,FC Twente,27,5,2,63,23,86,40
2009/2010,Netherlands Eredivisie,FC Utrecht,14,11,9,39,33,53,6
2009/2010,Netherlands Eredivisie,Feyenoord,17,12,5,54,31,63,23
2009/2010,Netherlands Eredivisie,Heracles Almelo,17,5,12,54,49,56,5
2009/2010,Netherlands Eredivisie,N.E.C.,8,9,17,35,59,33,-24
2009/2010,Netherlands Eredivisie,NAC Breda,12,10,12,42,49,46,-7
2009/2010,Netherlands Eredivisie,PSV,23,9,2,72,29,78,43
2009/2010,Netherlands Eredivisie,RKC Waalwijk,5,0,29,30,80,15,-50
2009/2010,Netherlands Eredivisie,Roda JC Kerkrade,14,5,15,56,60,47,-4
2009/2010,Netherlands Eredivisie,SC Heerenveen,11,4,19,44,64,37,-20
2009/2010,Netherlands Eredivisie,Sparta Rotterdam,6,8,20,30,66,26,-36
2009/2010,Netherlands Eredivisie,VVV-Venlo,8,11,15,43,57,35,-14
2009/2010,Netherlands Eredivisie,Vitesse,8,8,18,38,62,32,-24
