season,League_name,team_long_name_x,W,D,L,GF,GA,Pts,GD
2014/2015,Italy Serie A,Fiorentina,18,10,10,61,46,64,15
2014/2015,Italy Serie A,Genoa,16,11,11,62,47,59,15
2014/2015,Italy Serie A,Hellas Verona,11,13,14,49,65,46,-16
2014/2015,Italy Serie A,Inter,14,13,11,59,48,55,11
2014/2015,Italy Serie A,Juventus,26,9,3,72,24,87,48
2014/2015,Italy Serie A,Lazio,20,6,11,67,36,66,31
2014/2015,Italy Serie A,Milan,13,13,12,56,50,52,6
2014/2015,Italy Serie A,Napoli,18,9,10,68,50,63,18
2014/2015,Italy Serie A,Palermo,12,13,13,53,55,49,-2
2014/2015,Italy Serie A,Parma,6,8,24,33,75,26,-42
2014/2015,Italy Serie A,Roma,19,13,6,54,31,70,23
2014/2015,Italy Serie A,Sampdoria,13,17,8,48,42,56,6
2014/2015,Italy Serie A,Sassuolo,12,13,13,49,57,49,-8
2014/2015,Italy Serie A,Torino,14,12,12,48,45,54,3
2014/2015,Italy Serie A,Udinese,10,11,17,43,56,41,-13
2014/2015,Netherlands Eredivisie,ADO Den Haag,9,10,15,44,53,37,-9
2014/2015,Netherlands Eredivisie,AZ,19,5,10,63,56,62,7
2014/2015,Netherlands Eredivisie,Ajax,21,8,5,69,29,71,40
2014/2015,Netherlands Eredivisie,Excelsior,6,14,14,47,63,32,-16
2014/2015,Netherlands Eredivisie,FC Dordrecht,4,8,22,24,76,20,-52
2014/2015,Netherlands Eredivisie,FC Groningen,11,13,10,49,53,46,-4
2014/2015,Netherlands Eredivisie,FC Twente,13,10,11,56,51,49,5
2014/2015,Netherlands Eredivisie,FC Utrecht,11,8,15,60,62,41,-2
2014/2015,Netherlands Eredivisie,Feyenoord,17,8,9,56,39,59,17
2014/2015,Netherlands Eredivisie,Go Ahead Eagles,7,6,21,29,59,27,-30
2014/2015,Netherlands Eredivisie,Heracles Almelo,11,4,19,47,64,37,-17
2014/2015,Netherlands Eredivisie,NAC Breda,6,10,18,36,68,28,-32
2014/2015,Netherlands Eredivisie,PEC Zwolle,16,5,13,59,43,53,16
2014/2015,Netherlands Eredivisie,PSV,29,1,4,92,31,88,61
2014/2015,Netherlands Eredivisie,SC Cambuur,11,8,15,46,56,41,-10
2014/2015,Netherlands Eredivisie,SC Heerenveen,13,11,10,53,46,50,7
2014/2015,Netherlands Eredivisie,Vitesse,16,10,8,66,43,58,23
2014/2015,Netherlands Eredivisie,Willem II,13,7,14,46,50,46,-4
2014/2015,Poland Ekstraklasa,Cracovia,10,7,13,35,41,37,-6
2014/2015,Poland Ekstraklasa,GKS Bełchatów,8,7,15,24,42,31,-18
2014/2015,Poland Ekstraklasa,Górnik Łęczna,8,10,12,31,37,34,-6
2014/2015,Poland Ekstraklasa,Jagiellonia Białystok,14,7,9,43,35,49,8
2014/2015,Poland Ekstraklasa,Korona Kielce,10,9,11,34,42,39,-8
2014/2015,Poland Ekstraklasa,Lech Poznań,14,12,4,52,27,54,25
2014/2015,Poland Ekstraklasa,Lechia Gdańsk,11,8,11,36,37,41,-1
2014/2015,Poland Ekstraklasa,Legia Warszawa,17,5,8,57,30,56,27
2014/2015,Poland Ekstraklasa,Piast Gliwice,11,6,13,38,43,39,-5
2014/2015,Poland Ekstraklasa,Podbeskidzie Bielsko-Biała,10,9,11,40,48,39,-8
2014/2015,Poland Ekstraklasa,Pogoń Szczecin,11,8,11,40,38,41,2
2014/2015,Poland Ekstraklasa,Polonia Bytom,11,10,9,43,43,43,0
2014/2015,Poland Ekstraklasa,Ruch Chorzów,8,9,13,33,38,33,-5
2014/2015,Poland Ekstraklasa,Wisła Kraków,11,10,9,47,39,43,8
2014/2015,Poland Ekstraklasa,Zawisza Bydgoszcz,8,5,17,32,52,29,-20
2014/2015,Poland Ekstraklasa,Śląsk Wrocław,12,10,8,43,36,46,7
2014/2015,Portugal Liga ZON Sagres,Académica de Coimbra,4,17,13,26,46,29,-20
2014/2015,Portugal Liga ZON Sagres,Boavista FC,9,7,18,27,50,34,-23
2014/2015,Portugal Liga ZON Sagres,CD Nacional,13,8,13,45,46,47,-1
2014/2015,Portugal Liga ZON Sagres,CF Os Belenenses,12,12,10,34,35,48,-1
2014/2015,Portugal Liga ZON Sagres,CS Marítimo,12,8,14,46,45,44,1
2014/2015,Portugal Liga ZON Sagres,Estoril Praia,9,13,12,38,56,40,-18
2014/2015,Portugal Liga ZON Sagres,FC Arouca,7,7,20,26,50,28,-24
2014/2015,Portugal Liga ZON Sagres,FC Paços de Ferreira,12,11,11,40,45,47,-5
2014/2015,Portugal Liga ZON Sagres,FC Penafiel,5,7,22,29,69,22,-40
2014/2015,Portugal Liga ZON Sagres,FC Porto,25,7,2,74,13,82,61
2014/2015,Portugal Liga ZON Sagres,Gil Vicente FC,4,11,19,25,60,23,-35
2014/2015,Portugal Liga ZON Sagres,Moreirense FC,11,10,13,33,42,43,-9
2014/2015,Portugal Liga ZON Sagres,Rio Ave FC,10,13,11,38,42,43,-4
2014/2015,Portugal Liga ZON Sagres,SC Braga,17,7,10,55,28,58,27
2014/2015,Portugal Liga ZON Sagres,SL Benfica,27,4,3,86,16,85,70
2014/2015,Portugal Liga ZON Sagres,Sporting CP,22,10,2,67,29,76,38
2014/2015,Portugal Liga ZON Sagres,Vitória Guimarães,15,10,9,50,35,55,15
2014/2015,Portugal Liga ZON Sagres,Vitória Setúbal,7,8,19,24,56,29,-32
2014/2015,Scotland Premier League,Aberdeen,23,6,9,57,33,75,24
2014/2015,Scotland Premier League,Celtic,29,5,4,84,17,92,67
2014/2015,Scotland Premier League,Dundee FC,11,12,15,46,57,45,-11
2014/2015,Scotland Premier League,Dundee United,17,5,16,58,56,56,2
2014/2015,Scotland Premier League,Hamilton Academical FC,15,8,15,50,53,53,-3
2014/2015,Scotland Premier League,Inverness Caledonian Thistle,19,8,11,52,42,65,10
2014/2015,Scotland Premier League,Kilmarnock,11,8,19,44,59,41,-15
2014/2015,Scotland Premier League,Motherwell,10,6,22,38,63,36,-25
2014/2015,Scotland Premier League,Partick Thistle F.C.,12,10,16,48,44,46,4
2014/2015,Scotland Premier League,Ross County FC,12,8,18,46,63,44,-17
2014/2015,Scotland Premier League,St. Johnstone FC,16,9,13,34,34,57,0
2014/2015,Scotland Premier League,St. Mirren,9,3,26,30,66,30,-36
2014/2015,Spain LIGA BBVA,Athletic Club de Bilbao,15,10,13,42,41,55,1
2014/2015,Spain LIGA BBVA,Atlético Madrid,23,9,6,67,29,78,38
2014/2015,Spain LIGA BBVA,Córdoba CF,3,11,24,22,68,20,-46
2014/2015,Spain LIGA BBVA,Elche CF,11,8,19,35,62,41,-27
2014/2015,Spain LIGA BBVA,FC Barcelona,30,4,4,110,21,94,89
2014/2015,Spain LIGA BBVA,Getafe CF,10,7,21,33,64,37,-31
2014/2015,Spain LIGA BBVA,Granada CF,7,14,17,29,64,35,-35
2014/2015,Spain LIGA BBVA,Levante UD,9,10,19,34,67,37,-33
2014/2015,Spain LIGA BBVA,Málaga CF,14,8,16,42,48,50,-6
2014/2015,Spain LIGA BBVA,RC Celta de Vigo,13,12,13,47,44,51,3
2014/2015,Spain LIGA BBVA,RC Deportivo de La Coruña,7,14,17,35,60,35,-25
2014/2015,Spain LIGA BBVA,RCD Espanyol,13,10,15,47,51,49,-4
2014/2015,Spain LIGA BBVA,Rayo Vallecano,15,4,19,46,68,49,-22
2014/2015,Spain LIGA BBVA,Real Madrid CF,30,2,6,118,38,92,80
2014/2015,Spain LIGA BBVA,Real Sociedad,11,13,14,44,51,46,-7
2014/2015,Spain LIGA BBVA,SD Eibar,9,8,21,34,55,35,-21
2014/2015,Spain LIGA BBVA,Sevilla FC,23,7,8,71,45,76,26
2014/2015,Spain LIGA BBVA,UD Almería,8,8,22,35,64,32,-29
2014/2015,Spain LIGA BBVA,Valencia CF,22,11,5,70,32,77,38
2014/2015,Spain LIGA BBVA,Villarreal CF,16,12,10,48,37,60,11
2014/2015,Switzerland Super League,BSC Young Boys,19,9,8,64,45,66,19
2014/2015,Switzerland Super League,FC Aarau,6,12,18,31,64,30,-33
2014/2015,Switzerland Super League,FC Basel,24,6,6,84,41,78,43
2014/2015,Switzerland Super League,FC Luzern,12,11,13,54,46,47,8
2014/2015,Switzerland Super League,FC Sion,12,9,15,47,48,45,-1
2014/2015,Switzerland Super League,FC St. Gallen,13,8,15,57,65,47,-8
2014/2015,Switzerland Super League,FC Thun,13,13,10,47,45,52,2
2014/2015,Switzerland Super League,FC Vaduz,7,10,19,28,59,31,-31
2014/2015,Switzerland Super League,FC Zürich,15,8,13,55,48,53,7
2014/2015,Switzerland Super League,Grasshopper Club Zürich,11,10,15,50,56,43,-6
2015/2016,Belgium Jupiler League,Club Brugge KV,21,1,8,64,30,64,34
2015/2016,Belgium Jupiler League,KAA Gent,17,9,4,56,29,60,27
2015/2016,Belgium Jupiler League,KRC Genk,14,6,10,42,30,48,12
2015/2016,Belgium Jupiler League,KV Kortrijk,10,9,11,31,35,39,-4
2015/2016,Belgium Jupiler League,KV Mechelen,10,7,13,48,50,37,-2
2015/2016,Belgium Jupiler League,KV Oostende,14,7,9,55,44,49,11
2015/2016,Belgium Jupiler League,KVC Westerlo,7,9,14,35,59,30,-24
2015/2016,Belgium Jupiler League,Oud-Heverlee Leuven,7,8,15,42,53,29,-11
2015/2016,Belgium Jupiler League,RSC Anderlecht,15,10,5,51,29,55,22
2015/2016,Belgium Jupiler League,Royal Excel Mouscron,7,9,14,39,51,30,-12
2015/2016,Belgium Jupiler League,SV Zulte-Waregem,12,7,11,51,50,43,1
2015/2016,Belgium Jupiler League,Sint-Truidense VV,8,6,16,28,47,30,-19
2015/2016,Belgium Jupiler League,Sporting Charleroi,10,9,11,36,39,39,-3
2015/2016,Belgium Jupiler League,Sporting Lokeren,8,10,12,35,40,34,-5
2015/2016,Belgium Jupiler League,Standard de Liège,12,5,13,41,51,41,-10
2015/2016,Belgium Jupiler League,Waasland-Beveren,9,6,15,40,57,33,-17
2015/2016,England Premier League,Arsenal,20,11,7,65,36,71,29
2015/2016,England Premier League,Aston Villa,3,8,27,27,76,17,-49
2015/2016,England Premier League,Bournemouth,11,9,18,45,67,42,-22
2015/2016,England Premier League,Chelsea,12,14,12,59,53,50,6
2015/2016,England Premier League,Crystal Palace,11,9,18,39,51,42,-12
2015/2016,England Premier League,Everton,11,14,13,59,55,47,4
2015/2016,England Premier League,Leicester City,23,12,3,68,36,81,32
2015/2016,England Premier League,Liverpool,16,12,10,63,50,60,13
2015/2016,England Premier League,Manchester City,19,9,10,71,41,66,30
2015/2016,England Premier League,Manchester United,19,9,10,49,35,66,14
2015/2016,England Premier League,Newcastle United,9,10,19,44,65,37,-21
2015/2016,England Premier League,Norwich City,9,7,22,39,67,34,-28
2015/2016,England Premier League,Southampton,18,9,11,59,41,63,18
2015/2016,England Premier League,Stoke City,14,9,15,41,55,51,-14
2015/2016,England Premier League,Sunderland,9,12,17,48,62,39,-14
2015/2016,England Premier League,Swansea City,12,11,15,42,52,47,-10
2015/2016,England Premier League,Tottenham Hotspur,19,13,6,69,35,70,34
2015/2016,England Premier League,Watford,12,9,17,40,50,45,-10
2015/2016,England Premier League,West Bromwich Albion,10,13,15,34,48,43,-14
2015/2016,England Premier League,West Ham United,16,14,8,65,51,62,14
2015/2016,France Ligue 1,AS Monaco,17,14,7,57,50,65,7
2015/2016,France Ligue 1,AS Saint-Étienne,17,7,14,42,37,58,5
2015/2016,France Ligue 1,Angers SCO,13,11,14,40,38,50,2
2015/2016,France Ligue 1,ES Troyes AC,3,9,26,28,83,18,-55
2015/2016,France Ligue 1,En Avant de Guingamp,11,11,16,47,56,44,-9
2015/2016,France Ligue 1,FC Lorient,11,13,14,47,58,46,-11
2015/2016,France Ligue 1,FC Nantes,12,12,14,33,44,48,-11
2015/2016,France Ligue 1,GFC Ajaccio,8,13,17,37,58,37,-21
2015/2016,France Ligue 1,Girondins de Bordeaux,12,14,12,50,57,50,-7
2015/2016,France Ligue 1,LOSC Lille,15,15,8,39,27,60,12
2015/2016,France Ligue 1,Montpellier Hérault SC,14,7,17,49,47,49,2
2015/2016,France Ligue 1,OGC Nice,18,9,11,58,41,63,17
2015/2016,France Ligue 1,Olympique Lyonnais,19,8,11,67,43,65,24
2015/2016,France Ligue 1,Olympique de Marseille,10,18,10,48,42,48,6
2015/2016,France Ligue 1,Paris Saint-Germain,30,6,2,102,19,96,83
2015/2016,France Ligue 1,SC Bastia,14,8,16,36,42,50,-6
2015/2016,France Ligue 1,SM Caen,16,6,16,39,52,54,-13
2015/2016,France Ligue 1,Stade Rennais FC,13,13,12,52,54,52,-2
2015/2016,France Ligue 1,Stade de Reims,10,9,19,44,57,39,-13
2015/2016,France Ligue 1,Toulouse FC,9,13,16,45,55,40,-10
2015/2016,Germany 1. Bundesliga,1. FC Köln,10,13,11,38,42,43,-4
2015/2016,Germany 1. Bundesliga,1. FSV Mainz 05,14,8,12,46,42,50,4
2015/2016,Germany 1. Bundesliga,Bayer 04 Leverkusen,18,6,10,56,40,60,16
2015/2016,Germany 1. Bundesliga,Borussia Dortmund,24,6,4,82,34,78,48
2015/2016,Germany 1. Bundesliga,Borussia Mönchengladbach,17,4,13,67,50,55,17
2015/2016,Germany 1. Bundesliga,Eintracht Frankfurt,9,9,16,34,52,36,-18
2015/2016,Germany 1. Bundesliga,FC Augsburg,9,11,14,42,52,38,-10
2015/2016,Germany 1. Bundesliga,FC Bayern Munich,28,4,2,80,17,88,63
2015/2016,Germany 1. Bundesliga,FC Ingolstadt 04,10,10,14,33,42,40,-9
2015/2016,Germany 1. Bundesliga,FC Schalke 04,15,7,12,51,49,52,2
2015/2016,Germany 1. Bundesliga,Hamburger SV,11,8,15,40,46,41,-6
2015/2016,Germany 1. Bundesliga,Hannover 96,7,4,23,31,62,25,-31
2015/2016,Germany 1. Bundesliga,Hertha BSC Berlin,14,8,12,42,42,50,0
2015/2016,Germany 1. Bundesliga,SV Darmstadt 98,9,11,14,38,53,38,-15
2015/2016,Germany 1. Bundesliga,SV Werder Bremen,10,8,16,50,65,38,-15
2015/2016,Germany 1. Bundesliga,TSG 1899 Hoffenheim,9,10,15,39,54,37,-15
2015/2016,Germany 1. Bundesliga,VfB Stuttgart,9,6,19,50,75,33,-25
2015/2016,Germany 1. Bundesliga,VfL Wolfsburg,12,9,13,47,49,45,-2
2015/2016,Italy Serie A,Atalanta,11,12,15,41,47,45,-6
2015/2016,Italy Serie A,Bologna,11,9,18,33,45,42,-12
2015/2016,Italy Serie A,Carpi,9,11,18,37,57,38,-20
2015/2016,Italy Serie A,Chievo Verona,13,11,14,43,45,50,-2
2015/2016,Italy Serie A,Empoli,12,10,16,40,49,46,-9
2015/2016,Italy Serie A,Fiorentina,18,10,10,60,42,64,18
2015/2016,Italy Serie A,Frosinone,8,7,23,35,76,31,-41
2015/2016,Italy Serie A,Genoa,13,7,18,45,48,46,-3
2015/2016,Italy Serie A,Hellas Verona,5,13,20,34,63,28,-29
2015/2016,Italy Serie A,Inter,20,7,11,50,38,67,12
2015/2016,Italy Serie A,Juventus,29,4,5,75,20,91,55
2015/2016,Italy Serie A,Lazio,15,9,14,52,52,54,0
2015/2016,Italy Serie A,Milan,15,12,11,49,43,57,6
2015/2016,Italy Serie A,Napoli,25,7,6,80,32,82,48
2015/2016,Italy Serie A,Palermo,10,9,19,38,65,39,-27
2015/2016,Italy Serie A,Roma,23,11,4,83,41,80,42
2015/2016,Italy Serie A,Sampdoria,10,10,18,48,61,40,-13
2015/2016,Italy Serie A,Sassuolo,16,13,9,49,40,61,9
2015/2016,Italy Serie A,Torino,12,9,17,52,55,45,-3
2015/2016,Italy Serie A,Udinese,10,9,19,35,60,39,-25
2015/2016,Netherlands Eredivisie,ADO Den Haag,10,13,11,48,49,43,-1
2015/2016,Netherlands Eredivisie,AZ,18,5,11,70,53,59,17
2015/2016,Netherlands Eredivisie,Ajax,25,7,2,81,21,82,60
2015/2016,Netherlands Eredivisie,De Graafschap,5,8,21,39,66,23,-27
2015/2016,Netherlands Eredivisie,Excelsior,7,9,18,34,60,30,-26
2015/2016,Netherlands Eredivisie,FC Groningen,14,8,12,41,48,50,-7
2015/2016,Netherlands Eredivisie,FC Twente,12,7,15,49,64,43,-15
2015/2016,Netherlands Eredivisie,FC Utrecht,15,8,11,57,48,53,9
2015/2016,Netherlands Eredivisie,Feyenoord,19,6,9,62,40,63,22
2015/2016,Netherlands Eredivisie,Heracles Almelo,14,9,11,47,49,51,-2
2015/2016,Netherlands Eredivisie,N.E.C.,13,7,14,37,42,46,-5
2015/2016,Netherlands Eredivisie,PEC Zwolle,14,6,14,56,54,48,2
2015/2016,Netherlands Eredivisie,PSV,26,6,2,88,32,84,56
2015/2016,Netherlands Eredivisie,Roda JC Kerkrade,8,10,16,34,55,34,-21
2015/2016,Netherlands Eredivisie,SC Cambuur,3,9,22,33,79,18,-46
2015/2016,Netherlands Eredivisie,SC Heerenveen,11,9,14,46,61,42,-15
2015/2016,Netherlands Eredivisie,Vitesse,12,10,12,55,38,46,17
2015/2016,Netherlands Eredivisie,Willem II,6,11,17,35,53,29,-18
2015/2016,Poland Ekstraklasa,Cracovia,12,9,9,57,42,45,15
2015/2016,Poland Ekstraklasa,Górnik Łęczna,8,7,15,30,43,31,-13
2015/2016,Poland Ekstraklasa,Jagiellonia Białystok,10,5,15,37,54,35,-17
2015/2016,Poland Ekstraklasa,Korona Kielce,9,10,11,32,37,37,-5
2015/2016,Poland Ekstraklasa,Lech Poznań,13,4,13,37,38,43,-1
2015/2016,Poland Ekstraklasa,Lechia Gdańsk,10,9,11,45,37,39,8
2015/2016,Poland Ekstraklasa,Legia Warszawa,17,9,4,58,28,60,30
2015/2016,Poland Ekstraklasa,Piast Gliwice,17,7,6,49,36,58,13
2015/2016,Poland Ekstraklasa,Podbeskidzie Bielsko-Biała,9,11,10,37,46,38,-9
2015/2016,Poland Ekstraklasa,Pogoń Szczecin,10,16,4,36,30,46,6
2015/2016,Poland Ekstraklasa,Polonia Bytom,4,14,12,33,46,26,-13
2015/2016,Poland Ekstraklasa,Ruch Chorzów,11,6,13,37,46,39,-9
2015/2016,Poland Ekstraklasa,Termalica Bruk-Bet Nieciecza,8,9,13,33,43,33,-10
2015/2016,Poland Ekstraklasa,Wisła Kraków,8,13,9,45,35,37,10
2015/2016,Poland Ekstraklasa,Zagłębie Lubin,12,9,9,41,37,45,4
2015/2016,Poland Ekstraklasa,Śląsk Wrocław,8,10,12,28,37,34,-9
2015/2016,Portugal Liga ZON Sagres,Académica de Coimbra,5,10,19,32,60,25,-28
2015/2016,Portugal Liga ZON Sagres,Boavista FC,8,9,17,24,41,33,-17
2015/2016,Portugal Liga ZON Sagres,CD Nacional,10,8,16,40,56,38,-16
2015/2016,Portugal Liga ZON Sagres,CF Os Belenenses,10,11,13,44,66,41,-22
2015/2016,Portugal Liga ZON Sagres,CS Marítimo,10,5,19,45,63,35,-18
2015/2016,Portugal Liga ZON Sagres,Estoril Praia,13,8,13,40,41,47,-1
2015/2016,Portugal Liga ZON Sagres,FC Arouca,13,15,6,47,38,54,9
2015/2016,Portugal Liga ZON Sagres,FC Paços de Ferreira,13,10,11,43,42,49,1
2015/2016,Portugal Liga ZON Sagres,FC Porto,23,4,7,67,30,73,37
2015/2016,Portugal Liga ZON Sagres,Moreirense FC,9,9,16,38,54,36,-16
2015/2016,Portugal Liga ZON Sagres,Rio Ave FC,14,8,12,44,44,50,0
2015/2016,Portugal Liga ZON Sagres,SC Braga,16,10,8,54,35,58,19
2015/2016,Portugal Liga ZON Sagres,SL Benfica,29,1,4,88,22,88,66
2015/2016,Portugal Liga ZON Sagres,Sporting CP,27,5,2,79,21,86,58
2015/2016,Portugal Liga ZON Sagres,Tondela,8,6,20,34,54,30,-20
2015/2016,Portugal Liga ZON Sagres,Uniao da Madeira,7,8,19,27,50,29,-23
2015/2016,Portugal Liga ZON Sagres,Vitória Guimarães,9,13,12,45,53,40,-8
2015/2016,Portugal Liga ZON Sagres,Vitória Setúbal,6,12,16,40,61,30,-21
2015/2016,Scotland Premier League,Aberdeen,22,5,11,62,48,71,14
2015/2016,Scotland Premier League,Celtic,26,8,4,93,31,86,62
2015/2016,Scotland Premier League,Dundee FC,11,15,12,53,57,48,-4
2015/2016,Scotland Premier League,Dundee United,8,7,23,45,70,31,-25
2015/2016,Scotland Premier League,Hamilton Academical FC,11,10,17,42,63,43,-21
2015/2016,Scotland Premier League,Heart of Midlothian,18,11,9,59,40,65,19
2015/2016,Scotland Premier League,Inverness Caledonian Thistle,14,10,14,54,48,52,6
2015/2016,Scotland Premier League,Kilmarnock,9,9,20,41,64,36,-23
2015/2016,Scotland Premier League,Motherwell,15,5,18,47,63,50,-16
2015/2016,Scotland Premier League,Partick Thistle F.C.,12,10,16,41,50,46,-9
2015/2016,Scotland Premier League,Ross County FC,14,6,18,55,61,48,-6
2015/2016,Scotland Premier League,St. Johnstone FC,16,8,14,58,55,56,3
2015/2016,Spain LIGA BBVA,Athletic Club de Bilbao,18,8,12,58,45,62,13
2015/2016,Spain LIGA BBVA,Atlético Madrid,28,4,6,63,18,88,45
2015/2016,Spain LIGA BBVA,FC Barcelona,29,4,5,112,29,91,83
2015/2016,Spain LIGA BBVA,Getafe CF,9,9,20,37,67,36,-30
2015/2016,Spain LIGA BBVA,Granada CF,10,9,19,46,69,39,-23
2015/2016,Spain LIGA BBVA,Levante UD,8,8,22,37,70,32,-33
2015/2016,Spain LIGA BBVA,Málaga CF,12,12,14,38,35,48,3
2015/2016,Spain LIGA BBVA,RC Celta de Vigo,17,9,12,51,59,60,-8
2015/2016,Spain LIGA BBVA,RC Deportivo de La Coruña,8,18,12,45,61,42,-16
2015/2016,Spain LIGA BBVA,RCD Espanyol,12,7,19,40,74,43,-34
2015/2016,Spain LIGA BBVA,Rayo Vallecano,9,11,18,52,73,38,-21
2015/2016,Spain LIGA BBVA,Real Betis Balompié,11,12,15,34,52,45,-18
2015/2016,Spain LIGA BBVA,Real Madrid CF,28,6,4,110,34,90,76
2015/2016,Spain LIGA BBVA,Real Sociedad,13,9,16,45,48,48,-3
2015/2016,Spain LIGA BBVA,Real Sporting de Gijón,10,9,19,40,62,39,-22
2015/2016,Spain LIGA BBVA,SD Eibar,11,10,17,49,61,43,-12
2015/2016,Spain LIGA BBVA,Sevilla FC,14,10,14,51,50,52,1
2015/2016,Spain LIGA BBVA,UD Las Palmas,12,8,18,45,53,44,-8
2015/2016,Spain LIGA BBVA,Valencia CF,11,11,16,46,48,44,-2
2015/2016,Spain LIGA BBVA,Villarreal CF,18,10,10,44,35,64,9
2015/2016,Switzerland Super League,BSC Young Boys,20,9,7,78,47,69,31
2015/2016,Switzerland Super League,FC Basel,26,5,5,88,38,83,50
2015/2016,Switzerland Super League,FC Luzern,15,9,12,59,50,54,9
2015/2016,Switzerland Super League,FC Sion,14,8,14,52,49,50,3
2015/2016,Switzerland Super League,FC St. Gallen,10,8,18,41,66,38,-25
2015/2016,Switzerland Super League,FC Thun,10,11,15,45,54,41,-9
2015/2016,Switzerland Super League,FC Vaduz,7,15,14,44,60,36,-16
2015/2016,Switzerland Super League,FC Zürich,7,13,16,48,71,34,-23
2015/2016,Switzerland Super League,Grasshopper Club Zürich,15,8,13,65,56,53,9
2015/2016,Switzerland Super League,Lugano,9,8,19,46,75,35,-29
